회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
유니셈,036200,반도체와반도체장비,2349,30664223,7660,11.99,,1.13,1.31,8.26,30,40,2151,322,205,15.25,33.97,250.67,817.62,686,12.49,0.93,11.19,2961,437,382,23.11,27.26,298.81,1050.38,1244,11.73,0.82,9.25,2532,290,196,10.24,17.7,400,1154.06,639,8.8,1.78,15.02,2454,299,237,11.83,,,,811,9.45,,,600,81,57,18.22,29.01,275.04,1064.76,187,11.44,,,610,72,43,13.22,27.83,267.12,1095.9,141,9.54,,,746,85,98,13.1,23.46,329,1154.33,320,7.89,,,577,52,-3,10.24,17.7,400,1154.06,-10,8.8,,,481,41,,,,,,,,,
POSCO홀딩스,005490,철강,318834,84571230,377000,10.34,10.55,0.54,3.18,6.92,39,49,577928,24030,17882,3.61,65.89,158.68,9830.37,18376,14.8,2.94,38.72,763323,92381,71959,13.97,66.9,148.54,10970.25,75897,3.62,6.19,19.43,847502,48501,35605,6.11,68.92,138.67,11269.83,36457,7.58,4.34,28.95,840321,46594,35170,6.03,,,,38289,9.85,,,213381,22576,19069,15.02,72.54,146.84,11233.71,19632,3.5,,,230101,20982,17989,14.46,73.4,131.87,11500.34,18219,2.78,,,211545,9195,5916,10.24,74.81,99.05,11403.05,5926,3.45,,,192475,-4254,-7370,6.11,68.92,138.67,11269.83,-7873,7.58,,,200326,5843,4294,,,,,3848,108.11,,
HDC랩스,039570,건설,2149,25957601,8280,17.29,,0.73,5.43,8.17,49,59,2604,153,157,9.42,33,264.51,2012.41,952,11.03,3.81,38.51,2746,97,91,4.23,54.77,212.65,2086.86,527,23.14,3.69,118.51,6107,123,124,4.72,46.85,229.16,2113.71,479,15.87,5.92,83.17,,,,,,,,,,,,1337,25,28,3.87,51.5,218.56,2025.66,109,25.25,,,1591,38,39,4.5,46.03,231.9,2060.48,148,20.46,,,1492,1,14,4.29,45.89,239.65,2079.55,55,21.54,,,1687,59,43,4.72,46.85,229.16,2113.71,166,15.87,,,,,,,,,,,,,
현대홈쇼핑,057050,인터넷과카탈로그소매,5784,12000000,48200,6.7,4.77,0.28,5.39,5.67,40,50,21264,1723,1127,6.4,50.05,50.48,3013.16,9392,8.68,2.7,22.35,20954,1401,1017,5.53,38.14,53.4,3152.13,8472,7.48,3.79,27.02,21017,1106,863,4.5,42.03,42.3,3281.08,7194,7.49,4.82,34.48,21400,1200,1214,6.03,,,,10114,4.77,,,5399,363,436,5.21,42.98,47.19,3178.98,3637,7.46,,,5738,296,289,5.04,49.36,43.61,3227.14,2411,6.39,,,5640,341,406,3.61,47.99,46.48,3294.42,3387,8.17,,,4239,106,-269,4.5,42.03,42.3,3281.08,-2242,7.49,,,,338,,,,,,2692,17.91,,
동성화인텍,033500,화학,3354,29764052,11270,39.54,,2.18,3.11,26.02,51,61,3880,320,213,20.79,124.56,41.18,730.65,786,14.95,2.98,43.65,3650,302,265,21.02,107.55,56.73,915.64,929,12.38,3.04,37.1,4342,153,84,5.79,131.48,43.38,933.5,285,38.06,3.23,119.72,5024,476,,,,,,1085,10.39,,,1079,13,4,13.63,112.77,56.13,862.59,15,19.34,,,1066,58,16,9.58,115.24,46.69,882.21,53,27.56,,,913,112,43,8.18,129.91,43.26,914.74,145,27.61,,,1284,-31,21,5.79,131.48,43.38,933.5,71,38.06,,,1194,111,,,,,,254,44.43,,
필옵틱스,161580,전자장비와기기,2030,22013077,9220,115.25,,2.09,0.38,15.37,80,90,1889,18,43,6.22,238.99,54.82,819.18,241,64.61,0.32,22.34,2308,-105,-31,-4.62,181.32,54.78,819.3,-199,-50.45,,,3040,181,25,1.85,218.9,55.46,767.6,80,87.17,0.5,31.26,3885,257,,,,,,801,11.51,,,601,19,10,-9.51,208.94,27.68,825.34,30,-22.24,,,920,77,70,-1.34,165.5,46.05,868.78,287,-114.36,,,564,13,3,1.04,180.02,29.41,867.39,-7,142.85,,,956,71,-58,1.85,218.9,55.46,767.6,-230,87.17,,,,,,,,,,,,,
동구바이오제약,006620,제약,1702,28464992,5980,25.78,,1.62,1.84,105.99,30,40,1392,76,91,10.14,52.51,56.2,1922.04,321,26.4,0.4,10.32,1551,81,93,,54.59,72.91,633.9,328,25.09,1.22,30.06,1950,170,66,6.54,68.51,52.57,665.64,232,26.43,1.79,45.94,,,,,,,,,,,,473,52,23,,60.55,63.33,630.19,80,19.86,,,490,44,11,7.73,67.27,64.99,638.25,40,23.69,,,507,50,31,8.27,67.79,65.74,660.08,109,18.26,,,480,24,1,6.54,68.51,52.57,665.64,3,26.43,,,,,,,,,,,,,
엘앤씨바이오,290650,건강관리장비와용품,6964,22684891,30700,153.5,,7.11,0.16,14.71,50,60,330,73,121,18.64,31.55,879.98,464.36,492,70.17,0.14,10.12,457,132,156,19.34,15.16,587.11,678.03,618,59.2,0.14,8.21,526,95,57,4.97,85.24,151.33,780.21,200,115.32,0.22,24.96,676,136,128,11.21,,,,498,61.63,,,110,20,16,18.23,20.64,204.86,679.15,56,63.99,,,131,22,12,15.08,79.69,180.44,750.17,50,56.12,,,128,22,2,13.13,87.28,124.97,752.97,14,48.98,,,156,31,27,4.97,85.24,151.33,780.21,80,115.32,,,,,,,,,,,,,
마이크로컨텍솔,098120,반도체와반도체장비,532,8312766,6400,7.55,,1.09,1.25,8.26,41,51,393,17,11,3.32,23.88,315.16,723.8,135,45.82,0.41,18.56,614,79,76,19.78,23.29,322.39,899.52,904,15.59,0.21,3.32,611,79,70,15.55,16.96,378.88,1075.81,848,6.14,1.54,9.43,,,,,,,,,,,,147,18,17,18.84,21.76,338.05,934.74,206,12.67,,,154,13,12,20.05,20.36,354.11,964.85,151,6.34,,,170,32,30,16.85,20.17,346.26,1037.61,364,5.46,,,141,16,11,15.55,16.96,378.88,1075.81,128,6.14,,,,,,,,,,,,,
성보화학,003080,화학,643,20020000,3210,15.97,,0.46,4.21,26.02,68,77,517,-37,-60,,16.49,307.19,847.1,-299,-14.9,3.03,-43.84,577,10,13,1,26.84,158.71,834.45,68,58.56,3.02,173.45,664,19,39,2.94,24.3,146.97,851.1,201,16.33,4.12,66.13,,,,,,,,,,,,442,102,78,3.36,23.03,316.24,889.23,392,17.55,,,126,2,8,4.6,18.31,372.9,897.09,39,11.18,,,56,-37,-31,3.67,18.51,346.72,866.49,-153,11.72,,,40,-47,-16,2.94,24.3,146.97,851.1,-77,16.33,,,,,,,,,,,,,
