회사명,종목코드,업종,시가총액,상장주식수,현재가격,PER,예상PER,PBR,배당수익률,동일업종 PER,감점합계,가점합계,매출(3년 전),영업이익(3년 전),당기순이익(3년 전),ROE(3년 전),부채비율(3년 전),당좌비율(3년 전),자본유보율(3년 전),EPS(3년 전),PER(3년 전),시가배당률(3년 전),배당성향(3년 전),매출(2년 전),영업이익(2년 전),당기순이익(2년 전),ROE(2년 전),부채비율(2년 전),당좌비율(2년 전),자본유보율(2년 전),EPS(2년 전),PER(2년 전),시가배당률(2년 전),배당성향(2년 전),매출(1년 전),영업이익(1년 전),당기순이익(1년 전),ROE(1년 전),부채비율(1년 전),당좌비율(1년 전),자본유보율(1년 전),EPS(1년 전),PER(1년 전),시가배당률(1년 전),배당성향(1년 전),매출(올해 예상),영업이익(올해 예상),당기순이익(올해 예상),ROE(올해 예상),부채비율(올해 예상),당좌비율(올해 예상),자본유보율(올해 예상),EPS(올해 예상),PER(올해 예상),시가배당률(올해 예상),배당성향(올해 예상),매출(4분기 전),영업이익(4분기 전),당기순이익(4분기 전),ROE(4분기 전),부채비율(4분기 전),당좌비율(4분기 전),자본유보율(4분기 전),EPS(4분기 전),PER(4분기 전),시가배당률(4분기 전),배당성향(4분기 전),매출(3분기 전),영업이익(3분기 전),당기순이익(3분기 전),ROE(3분기 전),부채비율(3분기 전),당좌비율(3분기 전),자본유보율(3분기 전),EPS(3분기 전),PER(3분기 전),시가배당률(3분기 전),배당성향(3분기 전),매출(2분기 전),영업이익(2분기 전),당기순이익(2분기 전),ROE(2분기 전),부채비율(2분기 전),당좌비율(2분기 전),자본유보율(2분기 전),EPS(2분기 전),PER(2분기 전),시가배당률(2분기 전),배당성향(2분기 전),매출(1분기 전),영업이익(1분기 전),당기순이익(1분기 전),ROE(1분기 전),부채비율(1분기 전),당좌비율(1분기 전),자본유보율(1분기 전),EPS(1분기 전),PER(1분기 전),시가배당률(1분기 전),배당성향(1분기 전),매출(다음분기 예상),영업이익(다음분기 예상),당기순이익(다음분기 예상),ROE(다음분기 예상),부채비율(다음분기 예상),당좌비율(다음분기 예상),자본유보율(다음분기 예상),EPS(다음분기 예상),PER(다음분기 예상),시가배당률(다음분기 예상),배당성향(다음분기 예상)
대성산업,128820,석유와가스,1536,45235478,3395,,,0.21,,-89.71,159,30,11291,185,118,-2.03,231.48,89.66,515.99,-227,-20.1,,,18713,483,-96,-2.12,190.97,114.46,518.09,-263,-14.65,,,16081,294,-40,-1.05,182.5,94.92,513.56,-140,-25.6,,,,,,,,,,,,,,4115,122,-173,-1.05,182.5,94.92,513.56,-428,-25.6,,,3962,133,94,-0.71,177.47,97.93,517.07,175,-38.88,,,3453,7,-41,-1.33,175.51,107.12,515.33,-87,-21.3,,,3583,64,-16,-2.82,175.28,106.65,514.49,-42,-9.4,,,,,,,,,,,,,
새로닉스,042600,가정용기기와용품,1127,12423574,9070,,,0.83,,20.86,160,31,2187,5,917,58.93,70.4,49.31,3045.11,7251,2.06,,,2017,4,-295,-15.55,84.9,50.22,2573.05,-2309,-13.19,,,2025,73,-529,-36.91,102.6,57.2,1697.35,-4335,-2.27,,,,,,,,,,,,,,469,-1,-174,-23.24,90.87,51.52,2293.44,-1398,-7.59,,,487,13,-101,-34.23,96,52.18,2131.87,-808,-3.59,,,545,44,-104,-46.47,101.39,51.96,1965.45,-832,-2.22,,,524,18,-151,-36.91,102.6,57.2,1697.35,-1297,-2.27,,,,,,,,,,,,,
에이루트,096690,컴퓨터와주변기기,445,33477189,1329,,,0.34,,-49.7,148,19,459,-48,-1026,-80.62,29.12,154.91,102.78,-4608,-0.77,,,649,3,144,9.07,29.31,141.59,144,454,4.59,,,622,-71,-132,-7.63,26.32,77.03,123.05,-399,-6.31,,,,,,,,,,,,,,202,-29,-101,-7.63,26.32,77.03,123.05,-308,-6.31,,,224,-18,-238,-24.24,67.29,54.32,94.84,-705,-2.02,,,175,-34,4,-24.16,73.87,65.76,95.63,20,-1.64,,,104,-48,-58,-28.05,77.3,58.26,89.09,-163,-1.14,,,,,,,,,,,,,
에이치케이,044780,기계,204,18505787,1101,,,0.35,,40.63,138,9,814,58,43,7.46,45.84,92.01,534.8,231,8.42,1.54,12.89,666,8,19,3.17,38.54,127.49,549.36,103,17.66,,,540,-26,-22,-3.78,34.91,150.53,525.05,-122,-9.4,,,,,,,,,,,,,,128,-7,1,2.48,35.24,109.75,550.15,4,20.22,,,147,-6,-2,0.49,33.66,109.13,547.86,-11,84.69,,,100,-13,-23,-4.29,33.51,96.73,523.05,-124,-9.54,,,165,0,2,-3.78,34.91,150.53,525.05,10,-9.4,,,,,,,,,,,,,
이화공영,001840,건설,367,22283636,1648,,,0.87,,68.2,140,11,1949,-48,-47,-10.59,125.55,133.55,243.34,-236,-25.05,,,1946,1,6,1.23,101.82,160.41,245.13,29,132.85,,,1512,-11,-14,-2.93,126.08,146.81,235.88,-69,-46.78,,,,,,,,,,,,,,457,38,37,-2.93,126.08,146.81,235.88,187,-46.78,,,409,-23,-14,-6.36,141.58,141.01,220.25,-72,-19.8,,,369,1,1,3.75,145.76,130.41,221.22,3,28.36,,,216,-75,-77,-13.49,163.44,77.41,143.4,-389,-10.41,,,,,,,,,,,,,
제놀루션,225220,건강관리장비와용품,442,19190021,2305,,,0.51,,-861.37,143,14,728,413,344,47.94,15.5,437.76,1771.4,1842,4.4,2.53,10.75,381,147,146,16.51,20.86,1087.48,2062.6,781,5.96,,0.31,98,-71,-56,,29.41,447.73,953.96,-288,-13.32,,,,,,,,,,,,,,23,-27,-42,,29.41,447.73,953.96,-216,,,,13,-22,0,,30.27,400,956.46,2,,,,21,-24,-23,,31.37,364.24,933.38,-115,,,,17,-25,-33,,33.16,310.15,900.91,-162,-6.32,,,,,,,,,,,,,
와이엠티,251370,화학,1729,16314464,10600,,,0.96,,91.52,130,1,1256,172,140,9.13,76.71,144.05,1361.79,648,34.85,0.33,11.57,1306,33,26,-0.04,63.78,116.4,1377.07,-3,-4137.08,,,1274,-32,-1,-2.33,68.64,89.19,1334.4,-177,-59.04,,,,,,,,,,,,,,362,0,-8,-2.33,68.64,89.19,1334.4,-127,-59.04,,,295,0,-6,-1.42,70.34,105.73,1324.03,-53,-105.33,,,348,9,-44,-7.74,76.72,121.26,1264.21,-299,-17.94,,,364,22,24,-3.91,69.93,146.49,1393.29,114,-23.65,,,,,,,,,,,,,
에스엘에스바이오,246250,제약,243,15348206,1582,71.91,,1.9,1.58,102.87,139,10,108,24,28,54.2,75.28,281.44,89.89,206,12.09,,,90,10,14,14.22,32.46,661.95,246.65,102,25.34,0.97,26.76,84,3,3,2.58,30.73,652.17,72.34,22,88.03,,,,,,,,,,,,,,20,1,1,,32.82,610.26,240.14,9,,,,24,3,4,8.74,28.6,796.3,249.3,23,36.34,,,21,1,2,9.88,28.1,820.07,76.38,11,57.22,,,18,-2,-3,2.62,30.73,652.17,72.34,-20,86.93,,,,,,,,,,,,,
한익스프레스,014130,항공화물운송과물류,402,12000000,3350,,,0.52,2.99,7.46,172,43,7763,57,39,4.12,409.79,54.05,1085.57,240,26.36,,,8581,199,85,8.01,287.21,76.76,1215.95,580,9.07,2.47,22.42,6684,87,-156,-17.84,405.33,56.28,864.33,-1358,-4.82,,,,,,,,,,,,,,1567,-28,-159,-17.84,405.33,56.28,864.33,-1339,-4.82,,,1737,-8,-30,-22.76,423.64,57.46,810.85,-262,-2.74,,,1869,41,3,-22.24,428.34,61.36,811.71,12,-2.63,,,1870,34,-11,-22.94,432.96,58.27,785.73,-101,-2.25,,,,,,,,,,,,,
CJ 바이오사이언스,311690,생명과학도구및서비스,1512,13065462,11570,,,1.94,,-25.09,140,10,41,-332,-349,-50.78,84.05,145.39,1542.1,-5097,-5,,,56,-321,-229,-37.82,27.46,441.86,1437.02,-3025,-5.33,,,35,-342,-328,-44,28.11,413.67,1076.91,-3541,-2.85,,,,,,,,,,,,,,10,-78,-74,-43.23,28.13,433.29,1274.94,-809,-5.59,,,8,-81,-77,-47.56,35.07,351.71,1105.05,-848,-5.05,,,7,-86,-83,-36.64,40.09,308.88,923.59,-907,-5.07,,,9,-98,-95,-44,28.11,413.67,1076.91,-971,-2.85,,,,,,,,,,,,,
